Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25242224,"The Story of the Lost Child (Neapolitan Novels, #4)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1609452860""","=""9781609452865""",5.0,Europa Editions,Paperback,473,2015,2014,2025/11/01,2025/10/27,,,read,,,,1,0
23156040,"Those Who Leave and Those Who Stay (Neapolitan Novels, #3)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5.0,Europa Editions,Paperback,418,2014,2013,2025/10/27,2025/10/21,,,read,,,,1,0
17465515,"The Story of a New Name (Neapolitan Novels, #2)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5.0,Europa Editions,Paperback,471,2013,2012,2025/10/21,2025/10/17,,,read,,,,1,0
48037,Carmilla,J. Sheridan Le Fanu,"Fanu, J. Sheridan Le",Karl Wurf,"=""0809510839""","=""9780809510832""",4.0,Wildside Press,Paperback,108,2000,1872,2025/10/17,2025/09/21,,,read,,,,1,0
38457091,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5.0,Europa Editions,Kindle Edition,387,2012,2011,2025/10/17,2025/10/09,,,read,,,,1,0
36005,Baumgartner's Bombay,Anita Desai,"Desai, Anita",,"=""0618056807""","=""9780618056804""",3.0,Harper Perennial,Paperback,240,2000,1989,2025/10/13,2025/10/10,,,read,,,,1,0
61432234,Breakfast at Tiffany's,Truman Capote,"Capote, Truman",,"=""0241597269""","=""9780241597262""",3.0,PENGUIN,Hardcover,144,2022,1958,2025/07/22,2025/07/20,,,read,,,,1,0
33229395,Three Things About Elsie,Joanna  Cannon,"Cannon, Joanna",,"=""0008196915""","=""9780008196912""",4.0,The Borough Press,Hardcover,464,2018,2018,2025/10/10,2024/12/30,,,read,,,,1,0
34523270,How We Talk: The Inner Workings of Conversation,N.J. Enfield,"Enfield, N.J.",,"=""0465059945""","=""9780465059942""",3.0,Basic Books,Hardcover,257,2017,2017,2025/10/07,2025/09/22,,,read,,,,1,0
76715522,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731067""","=""9781639731060""",5.0,Bloomsbury Publishing,Hardcover,984,2023,2018,2025/10/06,2025/08/12,,,read,,,,1,0
76714487,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731040""","=""9781639731046""",4.0,Bloomsbury Publishing,Hardcover,688,2023,2017,2025/09/21,2025/08/12,,,read,"Reading this as part of the tandem read, where Empire of Storms and Tower of Dawn are mixed into one book and the chapters are organised in a way that makes perfect sense, made this a lot of more enjoyable.",,,1,0
